Author,Review URL,Description,Rating
Ram,https://www.zoma.to/zRdZevz,nice food and staff. sai nice service,5.0
Mohan Krishna,https://www.zoma.to/AnNOXMR,"They are providing quality food, and k.sai Kumar's accommodation and service quite good.. appreciate his service.. loved the restaurant vibe ",5.0
Kumar SiddharTh,https://www.zoma.to/yaKmZrG,Very less quantity and very bad service they just want people come and go. Once you finish the plate they will forcefully remove from the seat. <br/><br/>Wrong billing caused us loss of Rs 350. <br/>Dony know why people like meghna biryani. Taste was also not worth it and as well as quantity.  They don’t have any offer throughout the year. <br/>I personally dont like meghna foods biryani at all.,1.0
Joe Jaswanth Raj L,https://www.zoma.to/QKymolQ,,5.0
500643,https://www.zoma.to/nvxNgqK,"Panner biriyani is good ,panner bater masala is nice food tq sarvice is very good ....mr hem lal very good sarvice tq <br/>",5.0
Jayashree G,https://www.zoma.to/ZMzLmzr,Best suggestion is Hyderabad chicken curry . Thanks to Mr. Liku kumar for good service!!,5.0
Lokesh Kandregula,https://www.zoma.to/DNgPQYL,Food taste is good and beverages also very nice<br/>Caption liku Kumar service is good<br/>Chicken boneless biryani taste is good<br/><br/>,5.0
Kalyan Kanumalla,https://www.zoma.to/NZEYvzd,Food was good<br/><br/>Ordered paneer biryani and gobi manchuria starter <br/>Quality was good and  service too . .,5.0
Shilpa,https://www.zoma.to/pewepQm,,5.0
Karunakar,https://www.zoma.to/nveMDvQ,Food is awesome as well as the staff especially K.Sai Kumar<br/>Tandoori is a must try and dum biryani with bone <br/>Recommended for all ,5.0
Manas Kumar,https://www.zoma.to/wvOdKqM,,1.0
R Subbu,https://www.zoma.to/yaoLbbg,Biryani is good but gravy quantity is very less and not at all sufficient for the biryani and due to this we need to buy extra gravy by paying more when we order from online.,2.0
Pratik Tarafdar,https://www.zoma.to/LndPvGk,INR 450 (excl. GST) for a small portion of mutton biryani is unreasonable. Too pricy. Not the place for a humble family of 4 to dine. But the taste was fantastic. ,4.0
Adrija Chatterjee,https://www.zoma.to/qvbADeZ,,4.0
Sourav Kumar Nanda,https://www.zoma.to/ZMwgpDo,,4.0
Hardik Sharma,https://www.zoma.to/yapqmgD,Co-operative staff and excellent service by malyala srikanth and nagraju captain . Food quality is worth spending and taste is awesome.,5.0
Shyam,https://www.zoma.to/kaqOkye,"Awsome taste,Suresh & sharma's service is really good.. we have ordered Biriyani really meghana deserves 5* rating...",5.0
Anand Kumar Ray,https://www.zoma.to/GnbEvvl,Hemlal was nice while delivering the service to the dining table and I would recommend anyone who loves biryani ,5.0
Srinidhi G,https://www.zoma.to/peGOXMG,,5.0
G Subramanyam,https://www.zoma.to/GnbLyOK,Prawns biryani so good chicken paper &thandhuri its amazing i really enjoyed good taste staf also frindly talking mr basheer good suggested order taker subbu good service & quick serve ,1.0
Nishant Singh,https://www.zoma.to/BkOLmDk,We liked the food and ambience.. food was served  timely and taste was very nice. Liked the starters as well... ,5.0
Bidhan Sarkar,https://www.zoma.to/ovrNbpe,Apollo fish also good <br/>Good suggestion Mr basheer capt service also good Mr Subbu good atmosphere in restaurant ,5.0
Voosa Manjula,https://www.zoma.to/eoLKeLr,I'm lunch for mrghena foods I'm oder mutton peper &chicken lolipap good tastey srivice good mr hemlal &good suggestion mr kandev good oder taker so lovely food,5.0
982699,https://www.zoma.to/ovrkkDx,Awesome customer service Sai Kumar and Bachan .. will definitely visit next time I'm here in Blore Thank you ,5.0
Suryateja Chunduru,https://www.zoma.to/wvYXXAG,,5.0
Varsha T S,https://www.zoma.to/peGewoO,,5.0
Riya Mondal,https://www.zoma.to/aAmAEeE,Test is too good as well service is too good <br/>Try once in meghana Sai kumar<br/>Chicken vepudu<br/>Matan biryani,5.0
Arjun Manoharan,https://www.zoma.to/qvovyEM,Food is good and the hospitality is nice. My favourite is Meghana special biriyani. Sai Kumar take of our table and helped us in choosing start dishes,5.0
Ravi,https://www.zoma.to/nvbXMXO, Today I have visited to meghana foods I had very tasty food which is suggested by mr. <br/>Sai Kumar . He is very polite and gentle ,5.0
Prem,https://www.zoma.to/nvbdpbr,Yesterday i visited in meghana food again with friends. I found better then before meghana. As food test and ambiance. Service is always good in meghana food Marathahalli. Same guy serve us yesterday also Mr.Bhavani he is nice guy there. good respect even too much crowd. There is good responsable staff and nice food that's why meghana is in best position in Marathahalli.... 5 stars always...,5.0
Ramanand,https://www.zoma.to/zMozPAL,today diner for meghana foods I’m Oder chilly chicken a/s & chicken fry Britain good taste &good sarivice mr Rakesh Oder taker mr kamdev good suggestions lovely food,5.0
Sunil M,https://www.zoma.to/dNYAKlP,Today lunch meghana foods I'm oder chicken lolipop &natichicken biriyani goods taste srivice Mr Usman good sarivice oder taker Mr kamdev good suggestion lovely food🥰🥰🥰,5.0
Ashish Anand,https://www.zoma.to/nvlXLrG,No complains on food but Dine in is not for everyone. Feels like people are walking over your head. There is always a wait time which you just to stand and form a crowd. <br/><br/>Everything is rushed. Items that will take time will be discouraged. Delivery experience is better. ,3.0
Nivetha,https://www.zoma.to/LnBlPka,Food was really tasty - mushroom Biryani and gobi and paneer starters were spicy and fresh - professional and Good service by Atanu,4.0
Chandrakanth,https://www.zoma.to/yaPBLbO,Bhavani  and Atanu has been very generous in serving the food on time and great service in Meghana foods,5.0
S I  Karimullah,https://www.zoma.to/LnBYlXa,Today I'm going for lunch Meghna foods I'm oder chicken lollipop & ¹Appolo fish good tasty &mutton biriyani good tasty oder taker kamdev good suggestion &Mr Sharma good srivice lovely food ,5.0
Vishali,https://www.zoma.to/yaPByDG,Food was great and the service was also good. Meghana SPL biriyani is a must try. Atanu who served us was also really pleasing. ,4.0
Madhusudhan,https://www.zoma.to/yaPBlPO,,5.0
Rishav,https://www.zoma.to/NZyKwvO,"Full 5 stars just for the fantastic mutton fry, period! Similar cuisine and preparation like Nagarjuna. Have always loved their veg and non veg special biryanis. The paneer tikka starter is also worth a try",5.0
Sai Bhargavi,https://www.zoma.to/eoMympr,,3.0
Biswajit Das,https://www.zoma.to/AKkNMXA,Went to dine in. Didn't book a table. Just walkin. But the way the service people behaved as if we were beggars. This kind of service should be thrashed.,1.0
Nagaraj,https://www.zoma.to/ObDMZgE,,1.0
Sudhish Kumar,https://www.zoma.to/rnoeybw,Ordered vegetarian food but received non vegetarian food.  This is completely unacceptable and irresponsible.,1.0
Rahul,https://www.zoma.to/pereRzk,It was a very experience here .. excellent food.... prompt service...very good ambiance...<br/>Very good place to spend time with family and friends..,4.0
Sandeep Reddy,https://www.zoma.to/ovOdmre,Not like before. Today I got very less Quantity. And even chicken pieces are very less. I bought a boneless Biriyani. So please ,1.0
CHIGICHERLA PRASHANTH,https://www.zoma.to/MAErnXO,,5.0
Swathi Prabha,https://www.zoma.to/rnAGrnw,,5.0
Rajib,https://www.zoma.to/peznPlw,Today i go to meghana food Marathahalli branch Mr. Rajib suggest for chiken rost really this one very good test and biryani also serve very fast and nice 🙂,5.0
Binod Bhandari,https://www.zoma.to/qvmZAYA,Good Tested every items very nice & very good service ..Meghana chicken 555 stater also very nice&Biriyani also superb ,5.0
Vani,https://www.zoma.to/zMBPGaG,,1.0
Rakesh Pudipeddi,https://www.zoma.to/mRobmOk,Good food. Non veg Biryani is the best. I'm oder for chicken rayala Seema good test good suggestion for mr kamdev so lovely 🥰🥰🥰,5.0
✨,https://www.zoma.to/eoeqKpD,"Amaaaaaaazingggggg taste, authentic Chicken Biriyani taste with yummilicious Chicken Lollipop,prawn biriyani,Salan,Raita.<br/><br/>Thnq 😍",5.0
Suraj S,https://www.zoma.to/DNQoAYA,"Had been to this Meghana Foods branch for the first time. Today we had so much cravings for having Biriyani and being Bengalurians we always trusted Meghana Foods for any Biryani, ultimately we had Paneer Biryani and it was best as expected. One biryani is good enough with respect to taste and quantity. It Satisfied the whole. After having such a good meal we went with a glass of Butter Milk, it was good, could've been best.<br/><br/>I request management to maintain the same hygiene and taste and keep serving Biryani at it's best 🤩👍.",4.0
Sheza Parveen,https://www.zoma.to/ldnPwxK,The food was little spicy but good. The portion was a little less for two people to eat.<br/>Overall experience was good. The service was very fast.<br/>The place was crowed and we had to wait for someone to finish so that we can sit. Too much rush.<br/>One can visit with family and friends.<br/>(Sorry couldn’t take much photos)<br/>,4.0
Saumye Srivastava,https://www.zoma.to/QKmEnXd,Terrible experience! Unhygienic.<br/>Bad food quality and took 1 hour to service food. Waiters were rude. The biryani was smelling.,1.0
Hi.vijesh,https://www.zoma.to/vYXrRlL,,1.0
Shashi Kumar,https://www.zoma.to/ldNLobm,"We visited Meghna foods for a late lunch on a Sunday. Despite menu was shared, we came to know that only boneless chicken briyani is available and under beverage only soft drinks were available. First of all I dont understand concept of boneless chicken briyani, as its chicked cooked with some gravy served on top of briyani rice ( read flavored rice). If chicken and rice are cooked separately how it is a chiken biryani? The taste was not what we expected. <br/><br/>Better inform at the entry itself that only 2 items are available rather giving menu to decide and then get disappointed as your desired item is not available.<br/><br/>Service was not upto the mark, we saw order was received to tables where people come after us. Even  salads were not served to us despite asking for it. We have to remind the service guy multiple times to give salad and tumblers.",1.0
Umesh C,https://www.zoma.to/EgwpNag,The boneless chicken biriyani was delicious and quantity is more than sufficient for one person and it was too heavy,5.0
Nandini M,https://www.zoma.to/ldzqwgo,,1.0
Rituraj Bisht,https://www.zoma.to/DNvvBMk,"Finally we got a chance to visit the legendary Meghna Biryani food outlet. As expected, it was crowded and wait time was around 15-20 min.<br/><br/>One of the manager helped in getting early seats and finally we got seats although not great but it was seat and we can start ordering.<br/><br/>We ordered prawns biryani, chicken boneless biryani and tandoori roti. Although food prep time was more but food taste was amazing. Overall a great experience in term of food taste",4.0
Sukanya RK,https://www.zoma.to/qvRaBBn,,5.0
Alcohol Lover Dev Apu,https://www.zoma.to/ObxZKAa,,5.0
Dhiraj Chandra,https://www.zoma.to/vYBLlOL,"Nowadays Meghna always supply bad quality in biryani rice,  sometimes stale sometimes partially cooked",1.0
Shashi Shekhar,https://www.zoma.to/xvvrkrA,Today I'm going diner for Meghan foods will be oder for chicken leg roast and lollypop and biriyani so good tasty so nice sarivice waitr Mr parkash &Mr srikant oder taker Mr kamdev good suggestion stater leg rosat chicken good tastey so lovely food ,5.0
John,https://www.zoma.to/ovvxEre,Bala Raju and Suresh is amazing staff at the branch. Make sure you ask for them before ordering anything. Boneless biriyani is the best among anywhere. U like biriyani then it’s Meghana’s. <br/>,5.0
Abhinandan Gajula,https://www.zoma.to/LnnleYn,Today diner for meghana foods I'm oder far meghana spl biriyani  and chicken fry biriyani so good tastey waiter Mr bechan good and mr Suresh good oder taker good suggestion so lovely food exlent sarivice,5.0
Shameem Banu,https://www.zoma.to/xvvoNMo,Awesome food and  great experience. Well served by Mr Raheem. Ambience was also too good. I hope everyone shld try once to enjoy dine here.,5.0
Anshuman Panda,https://www.zoma.to/vYxMbxg,Today lunch for maghena foods im oder for boneless Biryani so good exlent test srivice boy mr prakash and mr bechan good saivice oder taker mr kamdev good suggestion stater im so happy so lovely foods,5.0
Rajashree,https://www.zoma.to/LnmXXGQ,The food was amazing and tasty especially the Chicken Biriyani. Thanks Md Rahim for the good service. ,5.0
Pinky Sharma,https://www.zoma.to/pevpPGa,I'm going to today lunch Meghna foods restaurant I'm oder for chicken leg roast& Meghna spl biriyani good taste oder taker mr kamdev good smile and waiter mr prakash good srivece lovely foods,5.0
Mehvish,https://www.zoma.to/RqRazgN,,1.0
Smart Boy,https://www.zoma.to/LmoRgbb,,1.0
Pushparaj Thangaraj,https://www.zoma.to/QbMQMMv,Taste is not like earlier days. They keep on increasing the prices. And no social distancing and crowded,1.0
Sruti Mondal,https://www.zoma.to/aZmBavn,"Recently I had ordered Boneless Chicken Biriyani from Meghna foods along with some other chicken and prawn starters, no wonder Meghna serves the tastiest Hyderabadi Biriyani in Bangalore. Portion size of the Biriyani and the starters are also commendable. But unfortunately this time I had an overwhelming experience while having the Biriyani. I found a stone in my plate, not the usual one that you usually see in rice, it was quite big in size. I’m really shocked to see a restaurant like Meghna have a stone in their food. I’m highly disappointed and dissatisfied. Hope you the team would take some action.",2.0
Ankita Ghosh,https://www.zoma.to/vxadbng,The chicken biriyani is so spicy and this place has become overhyped. Service is so slow have to wait for long. Quality is deteoriating too.,3.0
