Area,Restaurant Name,Rating,Cuisine,Price,Link
Koramangala,Finca- Cocktails & Culinary Craft,N/A,"Pizza, Chinese, South Indian, Biryani, Hyderabadi, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/finca-cocktails-culinary-craft-yelahanka-bangalore/info
Koramangala,Runway 27,N/A,"North Indian, Asian, Chinese, Continental, Salad, Italian, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/runway-27-kadubeesanahalli-bangalore/info
Koramangala,CBD- Central Bar District,N/A,"North Indian, Chinese, South Indian, Fast Food, Bakery, Beverages, Continental, Desserts","₹1,200 for two",https://www.zomato.com/bangalore/cbd-central-bar-district-mg-road-bangalore/info
Koramangala,Skyroot by TOF,N/A,"Continental, Asian, North Indian, Desserts, Bar Food, International","₹3,000 for two",https://www.zomato.com/bangalore/skyroot-by-tof-bannerghatta-road-bangalore/info
Koramangala,Brix and Barrells,N/A,"Mediterranean, Pizza, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/brix-and-barrells-mahadevapura-bangalore/info
Koramangala,Tales Of Flamingo (TOF),N/A,"Continental, Asian, North Indian, Desserts","₹3,000 for two",https://www.zomato.com/bangalore/tales-of-flamingo-tof-bannerghatta-road-bangalore/info
Koramangala,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,N/A,"North Indian, Continental, Fast Food, Asian, Beverages","₹4,000 for two",https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info
Koramangala,Hoot Craftwork 2.0,N/A,"Asian, Chinese, Continental, North Indian, Pizza, Seafood, South Indian, Kebab","₹1,500 for two",https://www.zomato.com/bangalore/hoot-craftwork-2-0-1-sarjapur-road-bangalore/info
Koramangala,46 Ounces Brewgarden,N/A,"Chinese, Continental, Indo-Chinese, North Indian, Kebab","₹2,000 for two",https://www.zomato.com/bangalore/46-ounces-brewgarden-electronic-city-bangalore/info
Koramangala,Hakuna Matata,N/A,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info
Koramangala,Brahma Brews,N/A,"Asian, North Indian, South Indian","₹2,500 for two",https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info
Koramangala,Watson's,N/A,"North Indian, Continental, Italian, European, Asian, Beverages, Desserts","₹1,600 for two",https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info
Koramangala,Chianti,N/A,"Italian, Pizza, Pasta, Desserts, Salad","₹2,200 for two",https://www.zomato.com/bangalore/chianti-sarjapur-road-bangalore/info
Koramangala,Yaakay Bar And Canteen,N/A,"South Indian, Bar Food, Mangalorean, Finger Food, Tamil, Chettinad, Kerala, Andhra","₹1,000 for two",https://www.zomato.com/bangalore/yaakay-bar-and-canteen-sahakara-nagar-bangalore/info
Koramangala,Gladia Brewery & Kitchen,N/A,"Biryani, Sushi, North Indian, Chinese, Pizza, Pasta, Salad","₹1,500 for two",https://www.zomato.com/bangalore/gladia-brewery-kitchen-sarjapur-road-bangalore/info
Koramangala,Geometry Brewery & Kitchen,N/A,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages, Bar Food","₹1,800 for two",https://www.zomato.com/bangalore/geometry-brewery-kitchen-rajajinagar-bangalore/info
